RegNumber,Value
0,[0]
1,[5356]
2,[0]
3,[2612]
4,[0]
5,[360]
6,[0]
7,[0]
8,[0]
9,[0]
10,[0]
11,[0]
12,[311]
13,[1309]
14,[331]
15,[1691]
16,[4001]
17,[999]
18,[1]
19,[236]
20,[4996]
21,[2020]
22,[6]
23,[19]
24,[11]
25,[59]
26,[44]
27,[0]
28,[0]
29,[0]
30,[0]
31,[0]
32,[0]
33,[0]
34,[0]
35,[0]
36,[0]
37,[0]
38,[0]
39,[0]
40,[0]
41,[0]
42,[0]
43,[0]
44,[0]
45,[0]
46,[0]
47,[0]
48,[0]
49,[0]
50,[0]
51,[0]
52,[0]
53,[0]
54,[0]
55,[0]
56,[0]
57,[0]
58,[0]
59,[0]
60,[0]
61,[0]
62,[0]
63,[0]
64,[0]
65,[0]
66,[0]
67,[0]
68,[0]
69,[0]
70,[0]
71,[0]
72,[0]
73,[0]
74,[0]
75,[0]
76,[0]
77,[0]
78,[0]
79,[0]
80,[0]
81,[0]
82,[0]
83,[0]
84,[0]
85,[0]
86,[0]
87,[0]
88,[0]
89,[0]
90,[0]
91,[0]
92,[0]
93,[0]
94,[0]
95,[0]
96,[0]
97,[0]
98,[0]
99,[0]
100,[0]
101,[0]
102,[0]
103,[0]
104,[0]
105,[0]
106,[0]
107,[0]
108,[0]
109,[0]
110,[0]
111,[0]
112,[0]
113,[0]
114,[0]
115,[0]
116,[0]
117,[0]
118,[0]
119,[0]
120,[0]
121,[0]
122,[0]
123,[0]
124,[0]
125,nada
126,nada
127,nada
128,nada
129,nada
130,nada
131,nada
132,nada
133,nada
134,nada
135,nada
136,nada
137,nada
138,nada
139,nada
140,nada
141,nada
142,nada
143,nada
144,nada
145,nada
146,nada
147,nada
148,nada
149,nada
0,[2020]
1,[6]
2,[19]
3,[12]
4,[4]
5,[58]
6,[100]
7,[95]
8,[60]
9,[198]
10,[262]
11,[4805]
12,[5094]
13,[1000]
14,[0]
15,[97]
16,[0]
17,[700]
18,[110]
19,[10]
20,[25]
21,[150]
22,[4805]
23,[150]
24,[198]
25,[251]
26,[10]
27,[75]
28,[75]
29,[75]
30,[0]
31,[5094]
32,[25]
33,[0]
34,[0]
35,[0]
36,[32779]
37,[0]
38,[32779]
39,[0]
40,[0]
41,[0]
42,[0]
43,[0]
44,[15]
45,[1632]
46,[0]
47,[320]
48,[3]
49,[120]
50,[5500]
51,[5000]
52,[1101]
53,[11296]
54,[2550]
55,[5882]
56,[350]
57,[1110]
58,[5550]
59,[5500]
60,[0]
61,[32767]
62,[0]
63,[0]
64,[8224]
65,[8265]
66,[20039]
67,[17731]
68,[20302]
69,[8224]
70,[21333]
71,[20000]
72,[8245]
73,[11824]
74,[8224]
75,[21580]
76,[52429]
77,[16332]
78,[13107]
79,[16939]
80,[0]
81,[3]
82,[0]
83,[150]
84,[100]
85,[300]
86,[1000]
87,[320]
88,[0]
89,[0]
90,[0]
91,[0]
92,[0]
93,[0]
94,[0]
95,[0]
96,[0]
97,[0]
98,[0]
99,[0]
100,[0]
101,[0]
102,[0]
103,[0]
104,[0]
105,[0]
106,[0]
107,[0]
108,[0]
109,[0]
110,[0]
111,[0]
112,[120]
113,[7]
114,[0]
115,[0]
116,[0]
117,[0]
118,[0]
119,[0]
120,[0]
121,[0]
122,[23205]
123,[25793]
124,[18]
125,[0]
126,[2019]
127,[8]
128,[6]
129,[7]
130,[27]
131,[39]
132,[5500]
133,[5500]
134,[5700]
135,[32767]
136,[32634]
137,[0]
138,[32767]
139,[110]
140,[100]
141,[1]
142,[0]
143,[1000]
144,[20]
145,[1000]
146,[50]
147,[1000]
148,[100]
149,[1000]
150,[100]
151,[1000]
152,[0]
153,[0]
154,[90]
155,[0]
156,[95]
157,[100]
158,[262]
159,[198]
160,[5001]
161,[4805]
162,[1]
163,[90]
164,[0]
165,[92]
166,[0]
167,[108]
168,[0]
169,[110]
170,[0]
171,[110]
172,[0]
173,[0]
174,[0]
175,[75]
176,[100]
177,[100]
178,[100]
179,[100]
180,[0]
181,[32763]
182,[108]
183,[100]
184,[115]
185,[100]
186,[1]
187,[0]
188,[0]
189,nada
190,nada
191,nada
192,nada
193,nada
194,nada
195,nada
196,nada
197,nada
198,nada
199,nada
